,brewery_name,address,brewery_page_url,list_order,page_num
80,Galveston Island Brewing,"8423 Stewart Rd Galveston TX 77554, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952669c86f7de94967ce,,1
81,Ghost Note Brewing,"23663 Ranch Road 12 Dripping Springs TX 78620, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952669c86f7de94967c6,,1
82,Grain Theory,"202 Pine Street, Suite 201 Abilene TX 79601, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952869c86f7de949683a,,1
83,Great Heights Brewing Company,"938 Wakefield Drive Houston TX 77018, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952569c86f7de94967a7,,1
84,Happy Hippie Brewing Company,"607 S Cottonwood Dr Richardson TX 75080, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952869c86f7de9496837,,1
85,Hedgehog Brewing,"3200 Woodall Dr. Unit C-1 Cedar Park TX 78613, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952669c86f7de94967db,,1
86,Hell Or High Water Brewing,"931 Loop 332 Liberty Hill TX 78642, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952469c86f7de949677b,,1
87,Hemisphere Brewing Company,2015 Kristy Ln Rockwall Texas 75098,https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952469c86f7de9496778,,1
88,Hi Sign Brewing,"1201 Old Bastrop Hwy Austin TX 78742, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952669c86f7de94967cf,,1
89,Hold Out Brewing,"1208 W. 4th Street Austin TX 78703, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952669c86f7de94967ca,,1
90,Holler Brewing,"2206 Edwards St, Suite A Houston TX 77007, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952569c86f7de9496797,,1
